iter	RMSE
0	0.8074767119
1	0.7384240193
2	0.6923190567
3	0.6471586815
4	0.6059626126
5	0.5748742851
6	0.5479921027
7	0.5231888247
8	0.5025423457
9	0.4856104526
10	0.46949616
11	0.4565884764
12	0.4457607932
13	0.4369103295
14	0.4292422393
15	0.4241811743
16	0.4179964297
17	0.4135734992
18	0.4098654188
19	0.4064142813
20	0.4028990101
21	0.4001065633
22	0.3977859118
23	0.3960469465
24	0.3938931345
25	0.3920305455
26	0.3904719647
27	0.3891931606
28	0.3875853479
29	0.3865676392
30	0.3853770775
31	0.3845885112
32	0.3835126404
33	0.3822254451
34	0.3815757335
35	0.3803735369
36	0.3798457524
37	0.3790552306
38	0.3782547789
39	0.377500852
40	0.3770556979
41	0.3759408335
42	0.3747867504
43	0.3741234826
44	0.3735132936
45	0.3726880485
46	0.3718078955
47	0.3706335473
48	0.3700672107
49	0.3698270973
50	0.369484209
51	0.3692016142
52	0.3686798702
53	0.3678047693
54	0.3675885577
55	0.3672665859
56	0.3670307868
57	0.3665727749
58	0.3658521813
59	0.3657067662
60	0.365579435
61	0.3652804204
62	0.3651558277
63	0.3644988917
64	0.3637092723
65	0.3632212043
66	0.3627642491
67	0.36249828
68	0.3615916385
69	0.3614128613
70	0.3613026108
71	0.3607160539
72	0.360486529
73	0.3603473497
74	0.3602493462
75	0.3595543389
76	0.3595104413
77	0.3591564567
78	0.3586692186
79	0.3582384437
80	0.3581548356
81	0.3570560923
82	0.3569242624
83	0.3568756005
84	0.3568333675
85	0.3567870479
86	0.3564944384
87	0.3559273068
88	0.355026941
89	0.3547824864
90	0.3543835904
91	0.3543376275
92	0.3542930881
93	0.3542693479
94	0.353862748
95	0.3538200638
96	0.353401871
97	0.3526619344
98	0.3526195301
99	0.3519522358
100	0.351301018
101	0.351260147
102	0.351120856
103	0.3510737602
104	0.3508211427
105	0.3507819864
106	0.3503738347
107	0.3502903299
108	0.3499610238
109	0.3499227837
110	0.3498855664
111	0.349649832
112	0.3494056784
113	0.3491097469
114	0.3490757113
115	0.3482906758
116	0.348111022
117	0.347864972
118	0.3473873514
119	0.3473524666
120	0.3471465238
121	0.3468386729
122	0.3464968617
123	0.3463689561
124	0.3462460532
125	0.3458630594
126	0.3458243129
127	0.3455616447
128	0.3449883471
129	0.3449647582
130	0.3449370651
131	0.3448973763
132	0.3448780688
133	0.3447165863
134	0.3443216075
135	0.344296041
136	0.3441608317
137	0.3440995008
138	0.3440729421
139	0.3440327314
140	0.343618245
141	0.3430646045
142	0.3430103704
143	0.3429606263
144	0.3427470741
145	0.342520312
146	0.3422913048
147	0.3420981458
148	0.3420749176
149	0.3418788313
150	0.3417552106
151	0.3417270415
152	0.3416994329
153	0.3416664577
154	0.3416329617
155	0.3416051063
156	0.3415725626
157	0.3414041421
158	0.3413206879
159	0.34128926
160	0.3411925945
161	0.3411625583
162	0.3411426995
163	0.3409789098
164	0.3408432774
165	0.3404732243
166	0.3402637617
167	0.3402348785
168	0.3402160766
169	0.3398262023
170	0.3397706393
171	0.33959835
172	0.3395895141
173	0.3395325601
174	0.3389316343
175	0.3386894518
176	0.3386518269
177	0.3386406436
178	0.3386245584
179	0.3386049191
180	0.3385610692
181	0.3385322804
182	0.3385229418
183	0.3383594703
184	0.338239227
185	0.3382207112
186	0.3380883487
187	0.3380658494
188	0.3380581153
189	0.3378887531
190	0.3378793814
191	0.3377696189
192	0.3377534566
193	0.3377275085
194	0.3374814103
195	0.3374395874
196	0.3372902941
197	0.336887293
198	0.336831318
199	0.3368086099
200	0.3367424881
201	0.3367152277
202	0.3364915473
203	0.3364671353
204	0.3364525308
205	0.336407078
206	0.3363040239
207	0.3362576294
208	0.3362050559
209	0.3361902887
210	0.3361490245
211	0.3361327213
212	0.3359928407
213	0.335969618
214	0.3359196139
215	0.3359019237
216	0.3357980527
217	0.3357489692
218	0.3357316785
219	0.3357237966
220	0.3355999641
221	0.3353817068
222	0.3353431962
223	0.3350819018
224	0.3350448651
225	0.3349016567
226	0.3347658901
227	0.3346863046
228	0.3344527259
229	0.3343946718
230	0.3342670173
231	0.3340267117
232	0.3340073618
233	0.3339848801
234	0.3339606097
235	0.3339406116
236	0.3338158946
237	0.3337738585
238	0.3337659768
239	0.3337454277
240	0.3337346634
241	0.3336866885
242	0.3336658417
243	0.3336109835
244	0.3334868076
245	0.3333863118
246	0.3333665201
247	0.3333495608
248	0.3333274578
249	0.333281742
