iter	Passed	Remaining
0	1	422
1	2	304
2	2	242
3	3	212
4	3	191
5	4	170
6	4	155
7	4	145
8	5	138
9	5	134
10	5	127
11	6	122
12	6	122
13	7	121
14	7	117
15	7	115
16	8	111
17	8	109
18	8	105
19	9	103
20	9	101
21	9	100
22	9	98
23	10	97
24	10	95
25	10	94
26	11	92
27	11	90
28	11	89
29	12	88
30	12	87
31	12	85
32	12	85
33	13	83
34	13	82
35	13	81
36	14	81
37	14	80
38	14	79
39	15	79
40	15	78
41	15	77
42	16	77
43	16	77
44	16	76
45	17	75
46	17	74
47	17	74
48	18	74
49	18	73
50	18	72
51	18	72
52	19	71
53	19	70
54	19	70
55	19	69
56	20	68
57	20	68
58	20	67
59	21	67
60	21	66
61	21	66
62	22	65
63	22	65
64	22	64
65	22	63
66	23	63
67	23	62
68	23	61
69	23	61
70	24	60
71	24	60
72	24	60
73	25	59
74	25	59
75	25	59
76	26	58
77	26	58
78	26	57
79	27	57
80	27	56
81	27	56
82	27	56
83	28	55
84	28	55
85	28	54
86	29	54
87	29	53
88	29	53
89	29	52
90	30	52
91	30	52
92	30	51
93	31	51
94	31	51
95	31	50
96	32	50
97	32	50
98	32	50
99	33	50
100	33	49
101	34	49
102	34	49
103	35	49
104	37	51
105	37	50
106	37	50
107	37	49
108	38	49
109	38	48
110	38	48
111	38	47
112	39	47
113	39	46
114	39	46
115	39	46
116	40	45
117	40	45
118	40	44
119	40	44
120	41	43
121	41	43
122	42	43
123	42	43
124	43	43
125	43	42
126	43	42
127	43	41
128	44	41
129	44	41
130	44	40
131	45	40
132	45	40
133	45	39
134	46	39
135	46	39
136	47	38
137	47	38
138	47	38
139	47	37
140	48	37
141	48	36
142	48	36
143	49	36
144	50	36
145	50	36
146	51	35
147	51	35
148	51	35
149	52	34
150	52	34
151	52	34
152	53	33
153	53	33
154	53	32
155	54	32
156	54	32
157	54	31
158	54	31
159	55	31
160	55	30
161	55	30
162	55	29
163	56	29
164	56	29
165	56	28
166	56	28
167	57	27
168	57	27
169	57	27
170	57	26
171	58	26
172	58	25
173	58	25
174	58	25
175	59	24
176	59	24
177	61	24
178	62	24
179	62	24
180	63	24
181	63	23
182	64	23
183	64	23
184	64	22
185	65	22
186	66	22
187	66	21
188	67	21
189	67	21
190	68	21
191	68	20
192	68	20
193	69	20
194	70	19
195	71	19
196	72	19
197	72	19
198	73	18
199	73	18
200	74	18
201	75	17
202	75	17
203	76	17
204	76	16
205	77	16
206	77	16
207	78	15
208	78	15
209	79	15
210	79	14
211	80	14
212	80	14
213	81	13
214	81	13
215	82	12
216	82	12
217	83	12
218	83	11
219	84	11
220	85	11
221	85	10
222	86	10
223	86	10
224	87	9
225	87	9
226	88	8
227	88	8
228	89	8
229	89	7
230	89	7
231	89	6
232	90	6
233	90	6
234	91	5
235	91	5
236	92	5
237	92	4
238	93	4
239	94	3
240	94	3
241	94	3
242	95	2
243	95	2
244	95	1
245	95	1
246	96	1
247	96	0
248	96	0
249	96	0
